id,customer_area_id,name,deleted
1040,1714,"SE 30 Bocamina nivel 1650",0
1041,1714,"SE 58 Bocamina nivel 1490",0
1042,1714,"SE 56 Bocamina nivel 1550",0
1043,1714,"SE 53 Bocamina nivel 1580",0
1044,1714,"SE 46 Bocamina nivel 1600",0
1045,1714,"SE 43 Bocamina nivel 1640",0
1046,1714,"SE 39 Bocamina nivel 1710",0
1047,1714,"SE S/N Bocamina nivel 1910",0
1048,1798,SUBESTACIÓN,0
1049,1852,CHILLON,0
1050,1688,"SE CHACPARROSAS",0
1051,1688,-,0
1052,1688,"SE San Fernando",0
1053,1688,"SE CHCPARROSAS",0
1054,1688,"SE KAROLA",0
1055,1688,"SE LPC",0
1056,1688,"SE 2190",0
1057,1688,"CENTRAL TERMICA-JASA",0
1058,1688,"CENTRAL TERMICA -JASA",0
1059,1688,"CENTRAL TERMICA-TINGO",0
1060,1688,TINGO,0
1061,1688,"SE VIJOS",0
1062,1688,"SE VIJUS",0
1063,1688,"SE CONSUELO",0
1064,1688,"SE CEDRO",0
1065,1688,"SE SANTA MARIA",0
1066,1688,"SE STANTA MARIA",0
1067,1688,"SE HUALANGA",0
1068,1715,"OFICINA ADMINISTRATIVA",0
1069,1715,"SECCION 25",0
1070,1912,"CHINCHA NUEVA",0
1071,1858,"PARQUE SOLAR PROMIGAS",0
1072,1712,"S.E. LLACUBAMBA",0
1073,1712,"S.E. TAYABAMBA",0
1074,1726,"Sub 08",0
1075,1726,Toquepala,0
1076,1726,"SE Principal",0
1077,1726,-,0
1078,1715,"PLANTA HITACHI",0
1079,1861,"SET LAS LOMAS",0
1080,1725,MALABRIGO,0
1081,1725,SUPE,0
1082,1686,"SE Entrenamiento Mina 2",0
1083,1686,"SE Tanque 06",0
1084,1686,"SE Radar Montura",0
1085,1862,"SE WARTSILA",0
1086,1766,"SE Uchuchacua",0
1087,1678,"SE SOCABAYA CTM",1
1088,1678,"VALLE PATIVILCA",0
1089,1687,UCHUCHACHUA,0
1090,1687,CUCHUCHAHUA,0
1091,1687,Uchucchacua,0
1092,1864,PRINCIPAL,0
1093,1865,TICUANTEPE,0
1094,1865,SANDINO,0
1095,1710,-,0
1096,1710,"SET BALNEARIOS",0
1097,1710,"PLANTA HITACHI",0
1098,1710,"SUB MAJES",0
1099,1710,REPARTICION,0
1100,1710,"SAT SAN ISIDRO",0
1101,1710,"SET SAN ISIDRO",0
1102,1710,"SET PRADERAS",0
1103,1710,"SET. PUENTE",0
1104,1868,"TERMOPAIPA IV - COMPAÑIA ELECTRICA DE SOCHAGOTA",0
1105,1710,"SET VERTIENTES",0
1106,1710,"SET CHORRILLOS",0
1107,1710,"SET HUACHIPA",0
1108,1710,"SET SANTA ANITA",0
1109,1710,"SET VILLA EL SALVADOR",0
1110,1710,"SET SAN MIGUEL",0
1111,1776,-,0
1112,1861,"SET COELVISAC",0
1113,1879,"SET TIERRAS NUEVAS",0
1114,1861,Ica,1
1115,1872,"SUBESTACIÓN ELECTRICA",0
1116,1715,"PLANTA HITACHI - LURÍN",0
1117,1715,"PATIO 320",0
1118,1678,"Trujillo Norte",1
1119,1706,"PLANTA LURIN",0
1120,1876,"RONATULLO II",0
1121,1875,"HUASA HUASI",1
1122,1875,HUASAHUASI,0
1123,1877,"RONATULLO III",0
1124,1874,"RONATULLO II",1
1125,1878,"TACNA SOLAR",0
1126,1861,"SET HUARANGO",0
1127,1871,"SET COELVISAC-ICA",1
1128,1881,"SE BLPC",0
1129,1882,"CARLTON SUBSTATION",0
1130,1883,PRINCIPAL,0
1131,1725,-,0
1132,1725,"PLANTA SUPE",0
1133,1725,"PLANTA VEGUETA",0
1134,1725,"PLANTA SAMANCO",0
1135,1678,"SET HUALLANCA",1
1136,1884,"ALMACEN PLANTA CEMENTOS SAN MARCOS",0
1137,1884,"SE N° 1",0
1138,1884,"SE N° 3 LADO YUMBO",0
1139,1884,"SE N° 2",0
1140,1884,"SE N° 3",0
1141,1678,"SUBESTACION CHILCA",1
1142,1678,PIURA,1
1143,1886,PRINCIPAL,0
1144,1695,CHILINA,0
1145,1695,MOLLENDO,0
1146,1888,PRINCIPAL,0
1147,1697,"SET COTARUSE",0
1148,1697,ARES,0
1149,1697,COTATURSE,0
1150,1697,PALLACANTA,0
1151,1697,SELENE,0
1152,1754,"La Joya",0
1153,1754,-,0
1154,1754,"LA JOYA-AREQUIPA",0
1155,1754,"Parque Industrial Arequipa",0
1156,1678,"SE AZANGARO",1
1157,1678,"SE AYAURI",1
1158,1814,-,0
1159,1890,"SE PAILA",0
1160,1678,"PLANTA HITACHI",1
1161,1678,"SE SURIRAY",1
1162,1678,"SE COMBAPATA",1
1163,1860,PRINCIPAL,0
1164,1894,"PARQUE SOLAR",0
1165,1895,PRINCIPAL,0
1166,1715,"Spare G161, G162",0
1167,1715,"Spare G163, G164",0
