id,customer_location_id,name,deleted
1252,500,"SE Movil N° 09",0
1253,500,"Sala Molinos",0
1254,500,TP8,0
1255,500,"SE Titijones",0
1256,500,"SE Casa de Bombas",0
1257,500,TW4,0
1258,500,TP9,0
1259,500,"SE Hidroeléctrica",0
1260,500,"Remolienda y Flotación",0
1261,500,"SE Movil N° 14",0
1262,501,"SE PRINCIPAL",0
1263,501,"PLANTA ELECTROLITICA",0
1264,501,"PLANTA DE ANODOS",0
1265,501,"GRUPO ELECTROGENO",0
1266,501,"SISTEMA DE BOMBAS",0
1267,502,Rectificadores,0
1268,502,"Planta de Convertidores 02",0
1269,502,"Centro de Carga Smelter 02",0
1270,502,"Planta de Fusion",0
1271,502,"Planta de Acidos 01",0
1272,502,"Área L.C.D.O 05-10",0
1273,502,"Smelter 03",0
1274,502,"Área 460",0
1275,502,"Taller Eléctrico",0
1276,502,"Taller de Maestranza",0
1277,502,"Área L.C.C.M.T. A-20,30,50,60",0
1278,502,"Southern Peru Cooper Corporation - Ilo - Fundicion",0
1279,502,"Planta de Convertidores 01",0
1280,502,"Área 620",0
1281,502,"Área 310",0
1282,502,"Área 290 Convertidores",0
1283,502,"Smelter 01",0
1284,502,"Área 230",0
1285,502,"Sub Estación Principal",0
1286,502,"Sala LC 103",0
1287,502,"Planta de Oxigeno 02",0
1288,502,"Área 410",0
1289,502,"Planta de Oxigeno 01",0
1290,502,"Planta de Cal",0
1291,502,"Smelter 02",0
1292,503,Transformer,0
1293,503,MINA,0
1294,503,"ALMACEN CASA DE BOMBAS",0
1295,503,"CAMPAMENTO SUCHE",0
1296,503,"SW Room 2",0
1297,503,"CONCENTRADORA ASMOL",0
1298,503,"ESTACION BOMBEO",0
1299,503,"SE Transformacion",0
1300,503,"SW Room 1",0
1301,503,"SW Room 3",0
1302,503,"SW Room Secundaria",0
1303,503,"CONCENTRADORA RELAVES",0
1304,503,"SW Room Planta de Filtros",0
1305,503,"MEJORA TECNOLOGICA",0
1306,504,"CH Pariac 3A",0
1307,504,"CH Pariac 3N",0
1308,504,"CH Pariac 4",0
1309,504,"CH Pariac 2",0
1310,505,"CH Misapuquio",0
1311,505,"CH Huayllacho",0
1312,505,"CH San Ignacio II",0
1313,505,"CH San Ignacio I",0
1314,506,Transformadores,0
1315,506,"CT Pacasmayo",0
1316,506,"CH Cahua",0
1317,506,"C.H. CAHUA - STATKRAFT",0
1318,507,"C.H. PACHAHACA - STATKRAFT",0
1319,508,Transformadores,0
1320,509,"C.H. MALPASO - STATKRAFT",0
1321,510,Transformadores,0
1322,511,"C.H. CHEVES - STATKRAFT",0
1323,512,Transformers,0
1324,513,"Sunshine Export S.A.C.",0
1325,514,Transformer,0
1326,515,"TEJIDOS SAN JACINTO S.A",0
1327,516,Transformer,0
1328,517,Transformadores,0
1329,518,Transformadores,0
1330,518,"SE Principal N°1",0
1331,518,"Textiles Camones S.A.",0
1332,518,"SE Principal N°2",0
1333,519,PPTR,0
1334,520,Transformadores,0
1335,521,Transformadores,0
1336,521,"Subestación Principal",0
1337,521,"SE Condorcocha",0
1338,521,"SE Carpapata II",0
1339,521,"SE Carpapata I",0
1340,522,Transformadores,0
1341,522,Campamentos,0
1342,522,"Oficinas Casino Administración",0
1343,522,"S.E. Embolsadura",0
1344,522,"Transformador Transmisión Horno III",0
1345,522,"Transformador Circuito Elecsa",0
1346,522,"Consorcio JSF (Ex Escuela)",0
1347,522,"S.E Servicios proyecto Horno IV",0
1348,522,"Residencial Empleado Obrero",0
1349,522,"Transformador Fabrica",0
1350,522,"Transformador S.E 4.7",0
1351,522,"TD S.E 4.6 Molienda de carbón",0
1352,522,"TD S.E 4.4 Dosificación petróleo y carbón",0
1353,522,"Transformador S.E 4.1A",0
1354,522,"Transformador S.E 4.2A",0
1355,522,"Transformador S.E 4.3 Accionamiento H 4",0
1356,522,"Transformador S.E 4.7.3 Ventilador separador",0
1357,522,"Transformador S.E 4.1B Transporte",0
1358,522,"Transformador S.E 4.4",0
1359,522,"Transformador S.E 4.7.2 Separador de cemento",0
1360,522,"Transformador S.E 4.2.4",0
1361,522,"Transformador S.E 4.2.1 Prensa de crudo",0
1362,522,"Transformador S.E 4.2.2 Ventilador de crudo",0
1363,522,"TD S.E 4.4",0
1364,522,"Transformador S.E 4.2.3 Ventilador de crudo",0
1365,522,"Transformador S.E 4.7.1 Prensa de cemento",0
1366,522,"Tranformador de Repuesto (stand by)",0
1367,522,"Transformador MCC II",0
1368,522,"Transformador S.E. 6A",0
1369,522,"Transformador Mot. Vent. Horno II",0
1370,522,"Transformador MCCI",0
1371,522,"Transformador 630 (Embolsadura)",0
1372,522,"Transformador Aux. Molino 4",0
1373,522,"Chancadora M&H",0
1374,522,"SE 3C - Petroleo",0
1375,522,"Transformador S.E. H",0
1376,522,"Transformador S.E. 1B",0
1377,522,"S.E.6A Transformador Mot. Vent.",0
1378,522,"Transformador S.E. 4",0
1379,522,"Transformador S.E. II",0
1380,522,"Transformador S.E. 3A",0
1381,523,"CEMENTO ANDINO S.A. - SE CARPAPATA",0
1382,524,Transformadores,0
1383,525,Transformadores,0
1384,526,Transformer,0
1385,527,"Universidad de Lima",0
1386,528,"HIDROELECTRICA HUANCHOR S.A.C.",0
1387,529,"S.E. ANDAYCHAGUA",0
1388,530,Transformers,0
1389,542,"Sub estación principal",0
1390,542,"Planta laminación 1",0
1391,542,"Planta laminación 2",0
1392,542,Aceria,0
1393,542,"Reducción directa",0
1394,542,Acedim,0
1402,548,"SAN GABAN",0
1403,549,"SE Principal",0
1404,549,Concentradora,0
1405,552,Subestación,0
1406,319,Planta,0
1407,553,"Zona Urbana",0
1408,319,Electrólisis,0
1409,319,Administrativa,0
1410,319,"Presion aire",0
1411,319,"SE Principal",0
1412,319,"Sintesis  amoniaco",0
1413,319,"SE 11",0
1414,554,"Zona Urbana",0
1415,555,Córdoba,0
1416,555,Montería,0
1417,555,"Santa Cruz de Lorica",0
1418,555,Sincelejo,1
1419,556,Sucre,0
1420,556,Sincelejo,0
1421,557,Cartagena,0
